mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,filename,spectral_centroids,zero_crossings,subject_id,age,gender,native_language
-384.9363403,148.6526489,-7.209373474,20.97521782,-27.276474,0.778047383,-1.71442306,-8.18068409,-8.659480095,-13.08079529,-4.592803478,-0.621968985,-4.419878006,-3.142480135,-5.58399868,-3.845478296,-5.932991028,-1.4444381,0.544958055,-3.608862638,2039_hindi_nonscripted_0.wav,1401.305357,0.072419819,2039,39,cis man,english (india)
-392.3222351,145.2946777,-5.12325716,13.75521278,-28.25330925,2.39545536,-0.31325838,-8.830957413,-11.01351357,-8.092265129,-3.673641205,-2.900441647,-3.929548979,-4.977728844,-3.029335022,-3.107741594,-6.41026926,-2.89452219,2.496545553,1.135557771,2039_hindi_nonscripted_1.wav,1466.920047,0.079889083,2039,39,cis man,english (india)
-383.8973694,139.6576538,-16.86604881,19.33893585,-24.41019821,-1.809004903,-2.107848167,-0.797287285,-11.26342106,-13.4334259,-6.118823051,1.767536759,1.808929682,-2.249957085,-1.382502079,-3.580014467,-7.040523052,-3.312551737,1.527021527,-0.494725972,2039_hindi_scripted_2.wav,1573.306143,0.087208712,2039,39,cis man,english (india)
-375.7297058,137.2797699,-2.758402109,18.84813881,-20.20384789,-0.996626318,-1.94163692,-8.808064461,-7.154932976,-10.75027275,-7.451812267,2.107579708,-2.174458742,-5.234285831,-3.766812325,-4.310709,-4.196016788,-1.067999125,3.738758564,3.147768021,2039_hindi_scripted_3.wav,1491.161421,0.076947345,2039,39,cis man,english (india)
-407.388031,134.0633392,-0.188536078,31.13780022,-5.340633392,21.86499405,-17.70305824,6.260951042,-7.357455254,6.278164864,2.047056437,-0.766438425,5.194769382,5.105721951,8.765379906,-2.925163031,11.28006363,-2.364710808,3.385903358,-2.102080345,2040_hindi_nonscripted_0.wav,1335.950908,0.053471873,2040,35,cis woman,hindi
-510.7379761,91.35557556,4.055973053,-5.401616096,-14.41287899,-4.332559109,-28.59183693,-7.533902168,-17.50640297,-2.79568696,-5.207054138,-8.948143959,-12.92542171,4.197423458,-13.73198223,-6.920767307,-3.627472878,-8.496658325,-8.866472244,-2.325095177,2040_hindi_nonscripted_1.wav,2139.841,0.091278844,2040,35,cis woman,hindi
-373.1476135,131.1463013,-13.07760429,43.40370178,-15.00306797,24.88786125,-25.25176811,9.322928429,-9.880147934,3.940487385,-0.725429356,0.581386924,4.943532467,2.037364006,10.13291454,-4.578918457,10.42923164,-1.643449664,8.998952866,-0.880230248,2040_hindi_scripted_2.wav,1557.216517,0.062903503,2040,35,cis woman,hindi
-471.1863098,85.14417267,1.308351874,-0.023785654,-14.5764761,-1.994002342,-39.05651093,-9.041694641,-12.35350323,-8.014286995,-6.732366562,-4.089025021,-13.86413956,1.504542232,-9.840834618,-4.327248573,-5.270216942,-7.339007854,-9.030545235,-5.538981438,2040_hindi_scripted_3.wav,2228.621269,0.087498424,2040,35,cis woman,hindi
-398.6390686,152.4294739,22.20561409,29.01338959,10.90336323,-2.076120853,-0.490695655,-5.354171753,-3.127651453,-3.328208685,-3.6609478,4.214456558,-1.441150546,6.00936842,-0.157050014,2.291424751,-2.239138842,3.646677017,-1.860528588,2.632508278,2041_hindi_nonscripted_0.wav,894.3674325,0.037362889,2041,24,cis man,hindi
-405.730957,155.550827,28.0750885,28.96319771,8.72009182,0.560679615,1.223329306,-7.506844521,-5.648432255,-0.839578629,2.16988945,4.464314461,-2.976870298,3.799837828,-2.731129885,0.946726263,-6.828589439,2.936836481,-0.896640003,-1.303398252,2041_hindi_nonscripted_1.wav,858.9722892,0.034433486,2041,24,cis man,hindi
-375.9951172,149.9620056,14.93214703,30.38132668,8.969819069,0.482558191,-12.05082321,-9.4084692,1.116288662,-6.310587406,-1.694920063,4.774221897,-6.552565575,4.899563313,-1.492525697,2.624102831,2.909986496,4.075019836,0.669598818,3.701837301,2041_hindi_scripted_2.wav,1003.183817,0.042026578,2041,24,cis man,hindi
-364.9798584,142.4661255,17.6002655,34.60517883,9.864108086,-0.272135794,-11.04841518,-14.0874939,-0.692727625,-5.865119457,2.820618629,4.980988979,-9.008877754,5.77946806,-0.829167306,-1.68215549,0.548825502,3.142136812,1.621840715,3.099717855,2041_hindi_scripted_3.wav,1000.353353,0.042553978,2041,24,cis man,hindi
